-16827.1883824939	0
-16827.1883677220	0.401943
-16827.1877881261	16.1727
-16827.1877631671	16.8519
-16827.1876761155	19.2206
-16827.1876582283	19.7073
-16827.1872157486	31.7471
-16827.1871327397	34.0058
-16827.1387981323	1349.19
-16827.1387159217	1351.43
-16827.1385777072	1355.19
-16827.1384210252	1359.45
-16827.1377525035	1377.64
-16827.1377291633	1378.28
-16826.8718338549	8613.29
-16826.8666229204	8755.08
-16826.8419204559	9427.23
-16826.8389211142	9508.84
-16826.8350750513	9613.5
-16826.8333463778	9660.53
-16826.8319319897	9699.02
-16826.8301360398	9747.89
-16826.8269426383	9834.78
-16826.8251009207	9884.89
-16826.8238126900	9919.94
-16826.8220649968	9967.5
-16826.8208063607	10001.7
-16826.8196922011	10032.1
-16826.8182216931	10072.1
-16826.8174752052	10092.4
-16826.8162882865	10124.7
-16826.8155929396	10143.6
-16826.8149689762	10160.6
-16826.8143320732	10177.9
-16826.8140200554	10186.4
-16826.8130356817	10213.2
-16826.8102643943	10288.6
-16826.8098715081	10299.3
-16826.8090908649	10320.5
-16826.8087308957	10330.3
-16826.8085330667	10335.7
-16826.8069878784	10377.7
-16826.8065095646	10390.8
-16826.8056234214	10414.9
-16826.8047612195	10438.3
-16826.8038963762	10461.9
-16826.8010605580	10539
-16826.7996692829	10576.9
-16826.7994461608	10583
-16826.7983718704	10612.2
-16826.7982309863	10616
-16826.7972332775	10643.2
-16826.7965288772	10662.3
-16826.7957458664	10683.6
-16826.7949663387	10704.9
-16826.7941503493	10727.1
-16826.7933149594	10749.8
-16826.7910182341	10812.3
-16826.7906209545	10823.1
-16826.7902724602	10832.6
-16826.7899099375	10842.4
-16826.7896148281	10850.5
-16826.7891571505	10862.9
-16826.7885227219	10880.2
-16826.7882428126	10887.8
-16826.7879333424	10896.2
-16826.7869237196	10923.7
-16826.7861261650	10945.4
-16826.7856581328	10958.1
-16826.7853695365	10966
-16826.7844356692	10991.4
-16826.7841157473	11000.1
-16826.7834668340	11017.8
-16826.7821374507	11053.9
-16826.7811702037	11080.2
-16826.7808926917	11087.8
-16826.7806566282	11094.2
-16826.7804234161	11100.6
-16826.7798792243	11115.4
-16826.7797551568	11118.7
-16826.7792149807	11133.4
-16826.7789331247	11141.1
-16826.7787044987	11147.3
-16826.7785129896	11152.5
-16826.7782894346	11158.6
-16826.7777275802	11173.9
-16826.7776204844	11176.8
-16826.7772348879	11187.3
-16826.7768218569	11198.6
-16826.7764752457	11208
-16826.7753554061	11238.5
-16826.7749400194	11249.8
-16826.7732872068	11294.7
-16826.7727620209	11309
-16826.7720507888	11328.4
-16826.7718305424	11334.4
-16826.7716491478	11339.3
-16826.7709467436	11358.4
-16826.7706615275	11366.2
-16826.7688322043	11416
